Time,FilteredVoltage
-20000,895.02
-20000,895.100905823634
-19900,895.1181528832
-19900,895.082672457292
-19900,895.136489436176
-19900,895.084167494489
-19900,895.075213612932
-19900,895.085235032834
-19800,895.054394904391
-19800,895.065783649434
-19800,895.114121182366
-19800,895.105752752274
-19800,895.074443748791
-19800,895.105197784977
-19800,895.115241580459
-19700,895.124158182551
-19700,895.156439068962
-19700,895.202827189396
-19700,895.137869179137
-19700,895.141386761829
-19700,895.179334598039
-19600,895.119934580777
-19600,895.140732984504
-19600,895.138651288093
-19600,895.121859779404
-19600,895.097685215558
-19600,895.122667269189
-19500,895.137060245945
-19500,895.063097582016
-19500,895.096852173853
-19500,895.123110851567
-19500,895.097000379074
-19500,895.142797526834
-19500,895.217454573928
-19400,895.202163919686
-19400,895.238168767869
-19400,895.281359077584
-19400,895.219011291157
-19400,895.240513379236
-19400,895.239868186982
-19300,895.219678496522
-19300,895.220654738423
-19300,895.238967857529
-19300,895.241292278381
-19300,895.198413500751
-19300,895.241758850219
-19300,895.238045016725
-19200,895.242007363958
-19200,895.257923571554
-19200,895.262021774255
-19200,895.278012592033
-19200,895.261878959305
-19200,895.318265492137
-19100,895.261553518425
-19100,895.238674569319
-19100,895.261123127333
-19100,895.239115231995
-19100,895.24063682334
-19100,895.219630153943
-19000,895.240130491605
-19000,895.200114234423
-19000,895.25970704798
-19000,895.300466516162
-19000,895.319355119696
-19000,895.34074364632
-19000,895.299165088807
-18900,895.340884668723
-18900,895.359102185745
-18900,895.40087191255
-18900,895.33915045802
-18900,895.320772189235
-18900,895.319345612503
-18800,895.280525082264
-18800,895.299638373367
-18800,895.260211759953
-18800,895.280000598594
-18800,895.259814945436
-18800,895.3004333752
-18800,895.299362239342
-18700,895.280886166584
-18700,895.318926786842
-18700,895.301327603186
-18700,895.35845848235
-18700,895.381781071673
-18700,895.398029379481
-18600,895.362181976745
-18600,895.357682772368
-18600,895.362521945015
-18600,895.337357505019
-18600,895.362777530272
-18600,895.337155179389
-18500,895.342916143719
-18500,895.337073832706
-18500,895.342963060256
-18500,895.337097656
-18500,895.34286824034
-18500,895.377254907453
-18500,895.402637030627
-18400,895.437501229424
-18400,895.442328970771
-18400,895.497825114099
-18400,895.481936932465
-18400,895.458224438499
-18400,895.481578692045
-18300,895.478581094245
-18300,895.461227750296
-18300,895.398947846026
