Time,Volt_In,Volt_Out
280952,2228,896
280954,2930,1735
280957,2602,2435
280960,1200,2161
280963,647,1458
280966,1681,529
280967,2567,83
280970,2944,161
280973,1772,696
280975,913,1535
280978,767,2235
280980,1514,2458
280982,2804,2093
280985,2793,1377
280987,1972,561
280990,743,100
280992,694,148
280995,1813,670
280996,2682,1480
280999,2891,2222
281002,1630,2467
281004,842,2151
281007,852,1422
281008,1640,600
281011,2897,100
281013,2951,129
281016,1779,651
281019,676,1438
281021,771,2180
281023,2006,2464
281025,2793,2167
281028,2799,1435
281031,1459,651
281033,743,125
281036,937,106
281037,1811,596
281040,2955,1377
281042,2896,2148
281045,1657,2470
281048,633,2212
281049,831,1493
281052,2159,700
281054,2890,135
281057,2669,90
281059,1803,558
281062,676,1377
281064,1091,2106
281066,1980,2461
281069,3008,2235
281071,2775,1538
281074,1439,729
281077,622,151
281078,966,100
281081,2328,548
281083,2959,1312
281086,2541,2080
281088,1606,2464
281091,634,2258
281093,1247,1593
281095,2181,754
281098,3019,183
281100,2652,0
281101,2291,0
281102,1880,0
281102,1487,0
281103,1097,0
281104,817,0
281105,654,0
281105,625,0
281106,723,0
281107,963,0
281108,1305,0
281109,1730,0
281109,2113,0
281110,2515,0
281111,2816,0
281112,2982,0
281113,3017,0
281113,2884,0
281114,2648,0
281115,2284,0
281116,1895,0
281117,1478,0
281117,1115,0
281118,819,0
281119,650,0
281120,626,0
281121,756,0
281121,983,0
281122,1325,0
281123,1721,0
281124,2137,0
281124,2503,0
281125,2785,0
281126,2981,0
281127,3021,0
281128,2906,0
281128,2664,0
281129,2341,0
281130,1913,0
281131,1510,0
281132,1138,0
281132,846,0
281133,665,0
281134,626,0
281135,724,0
281136,933,0
281136,1261,0
281137,1647,0
281138,2051,0
281139,2468,0
281139,2765,0
281140,2959,0
281141,3023,0
281142,2938,0
281143,2715,0
281143,2382,0
281144,1987,0
281145,1556,0
281146,1165,0
281147,869,0
281147,680,0
281148,619,0
281149,710,0
281150,946,0
281151,1292,0
281151,1664,0
281152,2104,0
281153,2498,0
281154,2804,0
281155,2991,0
281155,3014,0
281156,2913,0
281157,2656,0
281158,2336,0
281159,1909,0
281159,1503,0
281160,1129,0
281161,830,0
281162,655,0
281163,632,0
281163,722,0
281164,964,0
281165,1299,0
281166,1687,0
281166,2079,0
281167,2456,0
281168,2779,0
281169,2963,0
281170,3026,0
281170,2924,0
281171,2702,0
281172,2345,0
281173,1967,0
281174,1552,0
281174,1181,0
281175,855,0
281176,673,0
281177,616,0
281178,730,0
281178,932,0
281179,1275,0
281180,1689,0
281181,2111,0
281182,2522,0
281182,2795,0
281183,2986,0
281184,3013,0
281185,2911,0
281186,2657,0
281186,2316,0
281187,1912,0
281188,1483,0
281189,1104,0
281190,820,0
281190,661,0
281191,622,0
281192,726,0
281193,942,0
281193,1251,0
281194,1650,0
281195,2086,0
281196,2471,0
281197,2801,0
281197,2968,0
281198,3026,0
281199,2916,0
281200,2697,0
281201,2349,0
281201,1942,0
281202,1544,0
281203,1145,0
281204,838,0
281205,667,0
281205,618,0
281206,714,0
281207,955,0
281208,1294,0
281209,1663,0
281209,2076,0
281210,2453,0
281211,2756,0
281212,2970,0
281213,3015,0
281213,2945,0
281214,2714,0
281215,2392,0
281216,1987,0
281216,1580,0
281217,1195,0
281218,880,0
281219,677,0
281220,686,0
281221,813,0
281221,1050,0
281222,1407,0
281223,1818,0
281224,2387,0
281225,2727,0
281226,2940,0
281227,3030,0
281228,2957,0
281228,2754,0
281229,2411,0
281230,2037,0
281231,1609,0
281231,1234,0
281232,906,0
281233,696,0
281234,619,0
281235,693,0
281235,884,0
281237,1701,1829
281240,2918,2345
281242,2937,2332
281245,1739,1796
281247,906,964
