Time,FilteredVoltage
-9.98,-0.0215
-9.98,-0.0188183554284656
-9.97,-0.0178032176791504
-9.96,-0.0182917834926856
-9.95,-0.0188270401983683
-9.95,-0.0186155458995682
-9.94,-0.0181987129159201
-9.93,-0.0182626043219382
-9.92,-0.0186111709647746
-9.91,-0.0186722761898937
-9.91,-0.0184465290976273
-9.9,-0.0183961228451062
-9.89,-0.0186467032068974
-9.88,-0.0188469825877472
-9.88,-0.0187866100949089
-9.87,-0.0186853097168673
-9.86,-0.018758920802904
-9.85,-0.0188660276709279
-9.84,-0.0187866992624697
-9.84,-0.0185978678301695
-9.83,-0.0185297769417965
-9.82,-0.0185963950308129
-9.81,-0.018608184383186
-9.8,-0.0184894862409277
-9.8,-0.0183698545897023
-9.79,-0.0183644125884342
-9.78,-0.01843941805443
-9.77,-0.0185207526687667
-9.77,-0.0185863438543153
-9.76,-0.0186040314846221
-9.75,-0.0185076445207279
-9.74,-0.0183075615178513
-9.73,-0.0181290162183875
-9.73,-0.0180636035836748
-9.72,-0.0180584668997254
-9.71,-0.0180282327299738
-9.7,-0.017999730772768
-9.7,-0.0180417469622917
-9.69,-0.0181061174796483
-9.68,-0.0180715091740008
-9.67,-0.0179413766998712
-9.66,-0.0178692275430904
-9.66,-0.0179452518900713
-9.65,-0.0180631050446436
-9.64,-0.0180689453339178
-9.63,-0.0179647284291218
-9.63,-0.0178735464911651
-9.62,-0.017853087146153
-9.61,-0.0178500152749541
-9.6,-0.0178276117748422
-9.59,-0.0178270516801297
-9.59,-0.0178683345748867
-9.58,-0.0178838325539072
-9.57,-0.017820292651043
-9.56,-0.0177477157680265
-9.55,-0.0177791171075369
-9.55,-0.0179037803553736
-9.54,-0.0179899802399501
-9.53,-0.0179647622356105
-9.52,-0.0179065104464258
-9.52,-0.0179140289411752
-9.51,-0.0179512110014608
-9.5,-0.0179007517046614
-9.49,-0.0177454429005538
-9.48,-0.0176083149048235
-9.48,-0.0175944655402086
-9.47,-0.0176617983729672
-9.46,-0.0176910443996726
-9.45,-0.0176375400613789
-9.45,-0.0175579646029062
-9.44,-0.0175117670388114
-9.43,-0.0175013661423651
-9.42,-0.0175135758478005
-9.41,-0.0175597272717989
-9.41,-0.0176446724091819
-9.4,-0.0177359549142473
-9.39,-0.0178015805011988
-9.38,-0.0178540608349089
-9.38,-0.0179170516416564
-9.37,-0.0179644196876764
-9.36,-0.0179414342258129
-9.35,-0.0178507446931526
-9.34,-0.0177711619756336
-9.34,-0.0177675741227413
-9.33,-0.0178124666157149
-9.32,-0.0178248979557898
-9.31,-0.0177673493421947
-9.3,-0.0176749037738464
-9.3,-0.0176040997049107
-9.29,-0.0175890015703698
-9.28,-0.0176418988029456
-9.27,-0.0177521799533098
-9.27,-0.0178664647802289
-9.26,-0.0179048618400429
-9.25,-0.0178333459336532
-9.24,-0.0177105662316567
-9.23,-0.0176332672066667
-9.23,-0.0176347396696717
-9.22,-0.017662025319234
-9.21,-0.0176582727079625
-9.2,-0.0176394908126392
-9.2,-0.0176665628515075
-9.19,-0.0177551708246609
-9.18,-0.0178468138834765
-9.17,-0.0178805798783633
-9.16,-0.0178711362860934
-9.16,-0.0178884717177361
-9.15,-0.0179627685226603
-9.14,-0.0180389010103689
-9.13,-0.0180443400089124
-9.13,-0.0179837937169072
-9.12,-0.0179329051256388
-9.11,-0.0179355134688463
-9.1,-0.0179430848584894
-9.09,-0.0178828599842543
-9.09,-0.0177660074862099
-9.08,-0.0176875516268117
-9.07,-0.0177125584300119
-9.06,-0.0177944564292448
-9.05,-0.0178288849547307
-9.05,-0.0177738433611578
-9.04,-0.0176929118944345
-9.03,-0.0176812318891639
-9.02,-0.0177661547081941
-9.02,-0.0178851155553515
-9.01,-0.0179509854824546
-9,-0.0179341291159732
-8.99,-0.0178843601988417
-8.98,-0.0178746262475599
-8.98,-0.0179237687122264
-8.97,-0.0179819765204912
-8.96,-0.0179967589875953
-8.95,-0.0179794730052452
-8.95,-0.0179869145730124
-8.94,-0.0180426036910908
-8.93,-0.0181055796090924
-8.92,-0.0181301197887432
-8.91,-0.0181320113064737
-8.91,-0.0181668270717997
-8.9,-0.0182484673706658
-8.89,-0.018318942671041
-8.88,-0.0183116900366042
-8.88,-0.0182302326967862
-8.87,-0.0181492632263711
-8.86,-0.0181401720257529
-8.85,-0.0182031885874636
-8.84,-0.0182718811640391
-8.84,-0.0182791225067908
-8.83,-0.0182166799631845
-8.82,-0.0181315697854028
-8.81,-0.0180696143145353
-8.8,-0.0180348246339166
-8.8,-0.0180111235795715
-8.79,-0.0180082675812946
-8.78,-0.0180577632038917
-8.77,-0.018157637040927
-8.77,-0.0182490260835305
-8.76,-0.0182718662808377
-8.75,-0.0182323728075253
-8.74,-0.0181902101548252
-8.73,-0.0181829680116087
-8.73,-0.0181911150816399
-8.72,-0.0181837105748805
-8.71,-0.0181699569827343
-8.7,-0.0181830449139034
-8.7,-0.0182270083517263
-8.69,-0.0182660325197093
-8.68,-0.0182687887006601
-8.67,-0.0182474730209702
-8.66,-0.0182465388581117
-8.66,-0.0182979877016806
-8.65,-0.0183875618937482
-8.64,-0.0184612415646663
-8.63,-0.0184719520819346
-8.63,-0.0184288476904169
-8.62,-0.0183918979636737
-8.61,-0.0184025705163419
-8.6,-0.0184294513588035
-8.59,-0.0184094402040085
-8.59,-0.0183421146810367
-8.58,-0.0183057876217122
-8.57,-0.0183598172901637
-8.56,-0.0184627939326039
-8.55,-0.0185245894781308
-8.55,-0.0185212818323738
-8.54,-0.0185113726272274
