Time,FilteredVoltage
-9.05,0.000991
-9.04,-0.000369975267267111
-9.03,-0.000859803323337823
-9.02,-0.000583821504801227
-9.02,-0.000315628861969436
-9.01,-0.000446963327604153
-9,-0.000669077106785692
-8.99,-0.000635277568512667
-8.98,-0.000471976274725568
-8.98,-0.000465239899012306
-8.97,-0.000584594526060614
-8.96,-0.000601813993961223
-8.95,-0.000498251262197591
-8.95,-0.00045992651058039
-8.94,-0.000536392080245131
-8.93,-0.000573278203316848
-8.92,-0.000497443146220085
-8.91,-0.000439958724985862
-8.91,-0.000503127651230157
-8.9,-0.000585625896410264
-8.89,-0.000550622172669394
-8.88,-0.000442530663631594
-8.88,-0.000410022144543122
-8.87,-0.000487347284184986
-8.86,-0.000574474097905678
-8.85,-0.000599300339111718
-8.84,-0.000589974825722138
-8.84,-0.0005925310453451
-8.83,-0.000607876681201303
-8.82,-0.000623349379937109
-8.81,-0.000639891265855561
-8.8,-0.000652380438038126
-8.8,-0.000651262335158104
-8.79,-0.000648646462749365
-8.78,-0.00065623141271357
-8.77,-0.000641815617189819
-8.77,-0.000568021585070215
-8.76,-0.000475781416800184
-8.75,-0.000454630125429488
-8.74,-0.000508336520774633
-8.73,-0.000528830823319033
-8.73,-0.000450154649221576
-8.72,-0.000355011130171661
-8.71,-0.000355338599829145
-8.7,-0.000423668820512102
-8.7,-0.000441242406878235
-8.69,-0.000388714303963542
-8.68,-0.00037772911460966
-8.67,-0.000475183902182987
-8.66,-0.000596722478448908
-8.66,-0.000627502510423181
-8.65,-0.000575034281724157
-8.64,-0.000533615723597458
-8.63,-0.000545900271041601
-8.63,-0.000576100722226763
-8.62,-0.000595390113774633
-8.61,-0.000616103700863692
-8.6,-0.000642757254021822
-8.59,-0.000657957654553899
-8.59,-0.000668352900934314
-8.58,-0.000703349625990568
-8.57,-0.000749787643899719
-8.56,-0.000749345679046505
-8.55,-0.000692964916604405
-8.55,-0.000658114504466834
-8.54,-0.000700551079928723
-8.53,-0.000758668532522365
-8.52,-0.000737436598928345
-8.52,-0.000658077435172671
-8.51,-0.000636988186775821
-8.5,-0.000715024229735449
-8.49,-0.000798376303010924
-8.48,-0.000802645563694465
-8.48,-0.000772983814066371
-8.47,-0.00079335683623628
-8.46,-0.000835214923161187
-8.45,-0.000792489654889228
-8.45,-0.000652538071075455
-8.44,-0.000534141728427896
-8.43,-0.000527347295394909
-8.42,-0.000573413845622099
-8.41,-0.00055838406561139
-8.41,-0.000474032928012007
-8.4,-0.000415741108122073
-8.39,-0.000441597563534909
-8.38,-0.000505548739281152
-8.38,-0.0005386286601242
-8.37,-0.000534706816371186
-8.36,-0.000524816723245863
-8.35,-0.000510145889352249
