Time,Volt_In
1467666,1552
1467667,1460
1467668,1365
1467668,1297
1467669,1221
1467670,1161
1467671,1116
1467672,1082
1467673,1053
1467673,1034
1467674,1033
1467675,1029
1467676,1037
1467677,1070
1467678,1103
1467678,1159
1467679,1203
1467680,1265
1467681,1344
1467682,1417
1467682,1510
1467683,1606
1467684,1684
1467685,1784
1467686,1886
1467687,1998
1467687,2110
1467688,2232
1467689,2312
1467690,2406
1467691,2502
1467692,2575
1467692,2682
1467693,2740
1467694,2809
1467695,2876
1467696,2927
1467697,2955
1467697,3003
1467698,3022
1467699,3024
1467700,3025
1467701,3016
1467702,2992
1467702,2980
1467703,2915
1467704,2866
1467705,2805
1467706,2731
1467707,2656
1467707,2581
1467708,2474
1467709,2380
1467710,2285
1467711,2177
1467712,2078
1467712,1981
1467713,1870
1467714,1762
1467715,1665
1467716,1564
1467717,1477
1467717,1392
1467718,1319
1467719,1235
1467720,1183
1467721,1124
1467722,1088
1467722,1058
1467723,1035
1467724,1021
1467725,1020
1467726,1032
1467726,1060
1467727,1074
1467728,1119
1467729,1166
1467730,1231
1467730,1307
1467731,1362
1467732,1443
1467733,1530
1467734,1630
1467734,1722
1467735,1817
1467736,1911
1467737,2021
1467738,2135
1467739,2238
1467739,2349
1467740,2423
1467741,2522
1467742,2603
1467743,2693
1467744,2773
1467744,2861
1467745,2895
1467746,2938
1467747,2975
1467748,3007
1467749,3031
1467749,3049
1467750,3026
1467751,3021
1467752,2979
1467753,2945
1467754,2904
1467754,2860
1467755,2775
1467756,2703
1467757,2622
1467758,2535
1467759,2432
1467759,2367
1467760,2241
1467761,2146
1467762,2033
1467763,1930
1467764,1828
1467764,1735
1467765,1628
1467766,1544
1467767,1434
1467768,1365
1467769,1286
1467769,1224
1467770,1157
1467771,1119
1467772,1071
1467773,1050
1467774,1033
1467774,1024
1467775,1023
1467776,1037
1467777,1059
1467778,1112
1467779,1155
1467779,1212
1467780,1273
1467781,1348
1467782,1424
1467783,1516
1467784,1615
1467785,1734
1467785,1802
1467786,1916
1467787,2006
1467788,2122
1467789,2222
1467789,2324
1467790,2399
1467791,2500
1467792,2581
1467793,2669
1467793,2743
1467794,2810
1467795,2860
1467796,2927
1467797,2967
1467797,2992
1467798,3008
1467799,3023
1467800,3030
1467801,3030
1467801,3008
1467802,2976
1467803,2932
1467804,2893
1467805,2828
1467806,2792
1467806,2692
1467807,2610
1467808,2515
1467809,2424
1467810,2316
1467811,2234
1467811,2120
1467812,2017
1467813,1910
1467814,1813
1467815,1715
1467815,1631
1467816,1523
1467817,1430
1467818,1346
1467819,1287
1467820,1214
1467820,1159
1467821,1116
1467822,1074
1467823,1049
1467824,1042
1467824,1020
1467825,1025
1467826,1035
1467827,1057
1467828,1095
1467828,1133
1467829,1179
1467830,1242
1467831,1310
1467832,1392
1467832,1458
1467833,1548
1467834,1641
1467835,1736
1467836,1843
1467836,1934
1467837,2043
1467838,2150
1467839,2253
1467840,2359
1467841,2459
1467841,2548
1467842,2635
1467843,2723
1467844,2780
1467845,2854
1467846,2916
1467846,2952
1467847,2985
1467848,3018
1467849,3021
1467850,3032
1467851,3031
1467851,3006
1467852,2972
1467853,2926
1467854,2873
1467855,2821
1467856,2770
1467856,2678
1467857,2606
1467858,2513
1467859,2412
1467860,2312
1467861,2228
1467862,2112
1467862,1996
1467863,1905
1467864,1796
1467865,1690
1467866,1598
1467867,1499
1467867,1404
1467868,1342
1467869,1278
1467870,1197
1467871,1141
1467872,1099
1467872,1058
1467873,1046
1467874,1020
1467875,1025
1467876,1026
1467877,1054
1467877,1069
1467878,1120
1467879,1178
1467880,1228
1467881,1299
1467882,1361
1467882,1435
1467883,1531
1467884,1633
1467885,1730
1467886,1847
1467886,1938
1467887,2033
1467888,2146
1467889,2237
1467890,2345
1467891,2453
1467891,2540
1467892,2617
1467893,2706
1467894,2786
1467895,2854
1467896,2919
1467897,2947
1467897,2976
1467898,3013
1467899,3022
1467900,3028
1467901,3048
1467902,3000
1467902,2976
1467903,2934
1467904,2890
1467905,2833
1467906,2786
1467907,2690
1467907,2599
1467908,2522
1467909,2418
1467910,2324
1467911,2232
1467912,2123
1467912,2018
1467913,1911
1467914,1801
1467915,1701
1467916,1617
1467917,1514
1467917,1426
1467918,1353
1467919,1282
1467920,1210
1467921,1165
1467921,1108
1467922,1078
1467923,1046
1467924,1021
1467925,1022
1467925,1023
1467926,1045
1467927,1068
1467928,1107
1467929,1138
1467929,1186
1467930,1243
1467931,1311
1467932,1390
1467933,1475
1467933,1552
1467934,1649
1467935,1748
1467936,1857
1467937,1963
1467938,2049
1467938,2164
1467939,2266
1467940,2370
1467941,2465
1467942,2572
1467943,2644
1467943,2718
1467944,2789
1467945,2855
1467946,2909
1467947,2976
1467948,2988
1467948,3017
1467949,3025
1467950,3035
1467951,3026
1467952,3013
1467953,2978
1467953,2934
1467954,2880
1467955,2818
1467956,2741
1467957,2695
1467958,2590
1467958,2503
1467959,2401
1467960,2309
1467961,2202
1467962,2106
1467963,1991
1467963,1899
1467964,1789
1467965,1686
1467966,1598
1467967,1506
1467967,1418
1467968,1353
1467969,1278
1467970,1211
1467971,1157
1467971,1119
1467972,1061
1467973,1045
1467974,1029
1467975,1016
1467976,1031
1467976,1044
1467977,1064
1467978,1106
1467979,1145
1467980,1204
1467981,1270
1467981,1341
1467982,1423
1467983,1506
1467984,1607
