Time,Volt_In
4817296,1279
4817297,1070
4817298,1036
4817299,1142
4817299,1424
4817300,1765
4817301,2204
4817302,2599
4817303,2889
4817304,3024
4817304,2983
4817305,2804
4817306,2470
4817307,2049
4817308,1636
4817309,1292
4817309,1080
4817310,1024
4817311,1152
4817312,1405
4817313,1798
4817314,2209
4817314,2600
4817315,2867
4817316,3014
4817317,2978
4817318,2760
4817319,2417
4817320,2001
4817320,1592
4817321,1282
4817322,1073
4817323,1021
4817324,1167
4817325,1461
4817325,1853
4817326,2240
4817327,2621
4817328,2908
4817329,3028
4817330,2968
4817330,2736
4817331,2399
4817332,1965
4817333,1553
4817334,1232
4817335,1057
4817335,1035
4817336,1180
4817337,1474
4817338,1877
4817339,2289
4817340,2662
4817341,2935
4817341,3023
4817342,2959
4817343,2741
4817344,2372
4817345,1963
4817346,1566
4817346,1253
4817347,1068
4817348,1025
4817349,1169
4817350,1455
4817350,1862
4817351,2243
4817352,2621
4817353,2890
4817354,3033
4817355,2966
4817355,2768
4817356,2426
4817357,2013
4817358,1618
4817359,1299
4817360,1072
4817360,1028
4817361,1125
4817362,1380
4817363,1763
4817364,2172
4817364,2590
4817365,2857
4817366,3013
4817367,3002
4817368,2840
4817369,2533
4817369,2164
4817370,1720
4817371,1373
4817372,1131
4817373,1017
4817374,1104
4817374,1305
4817375,1652
4817376,2068
4817377,2453
4817378,2786
4817378,2966
4817379,3040
4817380,2915
4817381,2639
4817382,2250
4817383,1841
4817383,1477
4817384,1173
4817385,1026
4817386,1058
4817387,1236
4817387,1521
4817388,1914
4817389,2328
4817390,2709
4817391,2952
4817392,3055
4817392,2947
4817393,2719
4817394,2347
4817395,1929
4817396,1519
4817397,1217
4817397,1050
4817398,1041
4817399,1194
4817400,1493
4817401,1876
4817401,2274
4817402,2663
4817403,2921
4817404,3028
4817405,2961
4817406,2735
4817406,2403
4817407,1970
4817408,1572
4817409,1239
4817410,1049
4817411,1031
4817411,1169
4817412,1436
4817413,1823
4817414,2253
4817415,2647
4817416,2936
4817416,3030
4817417,2972
4817418,2776
4817419,2415
4817420,2003
4817421,1605
4817421,1271
4817422,1071
4817423,1021
4817424,1166
4817425,1448
4817426,1855
4817426,2241
4817427,2627
4817428,2905
4817429,3020
4817430,2963
4817431,2764
4817431,2412
4817432,2014
4817433,1606
4817434,1263
4817435,1068
4817436,1037
4817436,1163
4817437,1437
4817438,1820
4817439,2216
4817440,2607
4817440,2870
4817441,3024
4817442,2984
4817443,2770
4817444,2458
4817445,2046
4817445,1657
4817446,1295
4817447,1083
4817448,1021
4817449,1141
4817450,1413
4817451,1774
4817451,2205
4817452,2597
4817453,2896
4817454,3021
4817455,2988
4817456,2796
4817456,2457
4817457,2042
4817458,1621
4817459,1295
4817460,1082
4817461,1022
4817461,1128
4817462,1383
4817463,1763
4817464,2176
4817465,2594
4817465,2859
4817466,3007
4817467,3002
4817468,2809
4817469,2488
4817470,2071
4817471,1668
4817471,1344
4817472,1102
4817473,1031
4817474,1130
4817475,1394
4817475,1731
4817476,2156
4817477,2554
4817478,2868
4817479,3015
4817480,3017
4817481,2826
4817481,2512
4817482,2106
4817483,1672
4817484,1321
4817485,1102
4817485,1020
4817486,1115
4817487,1373
4817488,1710
4817489,2121
4817490,2514
4817490,2839
4817491,3005
4817492,2999
4817493,2837
4817494,2532
4817495,2150
4817495,1734
4817496,1351
4817497,1110
4817498,1030
4817499,1112
4817500,1323
4817500,1699
4817501,2116
4817502,2530
4817503,2834
4817504,3014
4817505,3010
4817505,2845
4817506,2536
4817507,2132
4817508,1722
4817509,1353
4817510,1120
4817510,1018
4817511,1092
4817512,1298
4817513,1642
4817514,2016
4817514,2450
4817515,2786
4817516,2996
4817517,3021
4817518,2858
4817519,2560
4817520,2165
4817520,1768
4817521,1404
4817522,1140
4817523,1020
4817524,1069
4817524,1269
4817525,1615
4817526,2037
4817527,2449
4817528,2781
4817529,2977
4817530,3023
4817530,2878
4817531,2599
4817532,2224
4817533,1794
4817534,1448
4817535,1166
4817535,1031
4817536,1068
4817537,1289
4817538,1631
4817539,2018
4817540,2449
4817540,2781
4817541,2994
4817542,3021
4817543,2893
4817544,2606
4817545,2221
4817545,1800
4817546,1405
4817547,1155
4817548,1037
4817549,1075
4817549,1258
4817550,1591
4817551,2008
4817552,2424
4817553,2780
4817554,2966
4817554,3021
4817555,2908
4817556,2627
4817557,2245
4817558,1830
4817559,1449
4817559,1179
4817560,1033
4817561,1072
4817562,1270
4817563,1621
4817564,1988
4817564,2395
4817565,2749
4817566,2974
4817567,3027
4817568,2922
4817569,2641
4817570,2266
4817570,1838
4817571,1453
4817572,1170
4817573,1036
4817574,1066
4817575,1252
4817575,1579
4817576,1996
4817577,2420
4817578,2776
4817579,2964
4817580,3037
4817580,2912
4817581,2635
4817582,2234
4817583,1824
4817584,1457
4817585,1175
4817585,1033
4817586,1067
4817587,1265
4817588,1620
4817589,1996
4817590,2403
4817590,2751
4817591,2980
4817592,3032
4817593,2917
4817594,2625
4817595,2275
4817595,1858
4817596,1452
4817597,1163
4817598,1039
4817599,1056
4817600,1255
4817600,1585
4817601,2010
4817602,2430
4817603,2800
4817604,2981
4817605,3032
4817605,2922
4817606,2635
4817607,2245
4817608,1844
