Timestamps,Volts
3482.435,1.29
3482.436,1.31
3482.438,1.31
3482.439,1.23
3482.44,1.24
3482.441,1.3
3482.443,1.33
3482.444,1.24
3482.445,1.32
3482.447,1.32
3482.448,1.32
3482.449,1.32
3482.45,1.31
3482.452,1.22
3482.453,1.23
3482.454,1.27
3482.455,1.3
3482.457,1.28
3482.458,1.28
3482.459,1.29
3482.46,1.3
3482.462,1.24
3482.463,1.3
3482.464,1.33
3482.465,1.33
3482.467,1.31
3482.468,1.32
3482.469,1.3
3482.47,1.29
3482.472,1.29
3482.473,1.31
3482.474,1.32
3482.475,1.32
3482.477,1.34
3482.478,1.32
3482.479,1.34
3482.48,1.32
3482.482,1.31
3482.483,1.31
3482.484,1.32
3482.485,1.33
3482.487,1.3
3482.488,1.27
3482.489,1.27
3482.49,1.28
3482.492,1.31
3482.493,1.33
3482.494,1.36
3482.495,1.33
3482.497,1.33
3482.498,1.33
3482.499,1.34
3482.5,1.33
3482.502,1.32
3482.503,1.29
3482.504,1.29
3482.505,1.3
3482.507,1.28
3482.508,1.3
3482.509,1.33
3482.51,1.32
3482.512,1.33
3482.513,1.36
3482.514,1.33
3482.515,1.33
3482.517,1.29
3482.518,1.3
3482.519,1.3
3482.52,1.29
3482.522,1.28
3482.523,1.29
3482.524,1.29
3482.525,1.32
3482.527,1.34
3482.528,1.33
3482.53,1.32
3482.531,1.35
3482.532,1.35
3482.533,1.25
3482.535,1.25
3482.536,1.28
3482.537,1.3
3482.538,1.29
3482.54,1.29
3482.541,1.29
3482.542,1.29
3482.543,1.31
3482.545,1.35
3482.546,1.36
3482.547,1.36
3482.548,1.34
3482.55,1.31
3482.551,1.3
3482.552,1.27
3482.553,1.29
3482.555,1.27
3482.556,1.29
3482.557,1.29
3482.558,1.31
3482.56,1.31
3482.561,1.34
3482.562,1.35
3482.563,1.36
3482.565,1.36
3482.566,1.26
3482.567,1.28
3482.568,1.28
3482.57,1.27
3482.571,1.29
3482.572,1.31
3482.573,1.33
3482.575,1.32
3482.576,1.33
3482.577,1.35
3482.578,1.36
3482.58,1.33
3482.581,1.35
3482.582,1.31
3482.583,1.31
3482.585,1.28
3482.586,1.29
3482.587,1.31
3482.588,1.32
3482.59,1.33
3482.591,1.31
3482.592,1.3
3482.593,1.33
3482.595,1.33
3482.596,1.34
3482.597,1.35
3482.598,1.32
3482.6,1.32
3482.601,1.31
3482.602,1.3
3482.603,1.28
3482.605,1.27
3482.606,1.3
3482.607,1.32
3482.608,1.25
3482.61,1.3
3482.611,1.31
3482.612,1.34
3482.613,1.36
3482.615,1.37
3482.616,1.36
3482.617,1.26
3482.618,1.24
3482.62,1.24
3482.621,1.26
3482.622,1.2
3482.623,1.24
3482.625,1.31
3482.626,1.33
3482.627,1.26
3482.628,1.29
3482.63,1.31
3482.631,1.33
3482.632,1.34
3482.633,1.3
3482.635,1.29
3482.636,1.29
3482.637,1.29
3482.638,1.31
3482.64,1.33
3482.641,1.32
3482.642,1.31
3482.643,1.35
3482.645,1.36
3482.646,1.35
3482.647,1.34
3482.648,1.33
3482.65,1.31
3482.651,1.28
3482.652,1.25
3482.653,1.27
3482.655,1.29
3482.656,1.28
3482.657,1.3
3482.658,1.32
3482.66,1.33
3482.661,1.34
3482.662,1.33
3482.663,1.34
3482.665,1.33
3482.666,1.3
3482.667,1.31
3482.669,1.28
3482.67,1.26
3482.671,1.26
3482.672,1.3
3482.674,1.32
3482.675,1.34
3482.676,1.33
3482.677,1.32
3482.679,1.35
3482.68,1.36
3482.681,1.36
3482.682,1.36
3482.684,1.35
3482.685,1.31
3482.686,1.31
3482.687,1.28
3482.689,1.28
3482.69,1.28
3482.691,1.28
3482.692,1.28
3482.694,1.29
3482.695,1.34
3482.696,1.36
3482.697,1.35
3482.699,1.35
3482.7,1.33
3482.701,1.3
3482.702,1.31
3482.704,1.31
3482.705,1.32
3482.706,1.3
3482.707,1.3
3482.709,1.34
3482.71,1.33
3482.711,1.32
3482.712,1.32
3482.714,1.35
3482.715,1.35
3482.716,1.35
3482.717,1.34
3482.719,1.31
3482.72,1.3
3482.721,1.32
3482.722,1.33
3482.724,1.31
3482.725,1.34
3482.726,1.35
3482.727,1.38
3482.729,1.36
3482.73,1.34
3482.731,1.34
3482.732,1.25
3482.734,1.24
3482.735,1.29
3482.736,1.3
3482.737,1.31
3482.739,1.31
3482.74,1.31
3482.741,1.32
3482.742,1.34
3482.744,1.37
3482.745,1.37
3482.746,1.35
3482.747,1.32
3482.749,1.3
3482.75,1.31
3482.751,1.29
3482.752,1.27
3482.754,1.25
3482.755,1.27
3482.756,1.29
3482.757,1.31
3482.759,1.33
3482.76,1.33
3482.761,1.33
3482.762,1.35
3482.764,1.35
3482.765,1.33
3482.766,1.31
3482.767,1.3
3482.769,1.32
3482.77,1.29
3482.771,1.29
3482.772,1.28
3482.774,1.29
3482.775,1.32
3482.776,1.32
3482.777,1.35
3482.779,1.33
3482.78,1.34
3482.781,1.35
3482.782,1.36
3482.784,1.31
3482.785,1.3
3482.786,1.3
3482.787,1.31
3482.789,1.31
3482.79,1.33
3482.791,1.31
3482.792,1.34
3482.794,1.35
3482.795,1.34
3482.796,1.35
3482.797,1.33
3482.799,1.32
3482.8,1.29
3482.801,1.29
3482.802,1.28
3482.804,1.27
3482.805,1.27
3482.806,1.29
3482.807,1.22
3482.809,1.26
3482.81,1.21
3482.811,1.29
3482.812,1.33
3482.814,1.32
3482.815,1.34
3482.816,1.32
3482.817,1.32
3482.819,1.32
3482.82,1.23
3482.821,1.26
3482.822,1.28
3482.824,1.28
3482.825,1.32
3482.826,1.34
3482.827,1.35
3482.829,1.37
3482.83,1.34
3482.831,1.35
3482.832,1.31
3482.834,1.32
