Timestamps,Volts
3256.02,1.31
3256.021,1.3
3256.022,1.31
3256.024,1.33
3256.025,1.32
3256.026,1.31
3256.027,1.31
3256.029,1.31
3256.03,1.32
3256.031,1.35
3256.032,1.3
3256.034,1.29
3256.035,1.31
3256.036,1.31
3256.037,1.31
3256.039,1.31
3256.04,1.33
3256.041,1.32
3256.042,1.33
3256.044,1.26
3256.045,1.28
3256.046,1.32
3256.047,1.32
3256.049,1.3
3256.05,1.29
3256.051,1.27
3256.052,1.29
3256.054,1.26
3256.055,1.19
3256.056,1.27
3256.057,1.29
3256.059,1.3
3256.06,1.33
3256.061,1.32
3256.062,1.35
3256.064,1.36
3256.065,1.34
3256.066,1.34
3256.067,1.3
3256.069,1.21
3256.07,1.22
3256.071,1.28
3256.072,1.3
3256.074,1.31
3256.075,1.31
3256.076,1.3
3256.077,1.31
3256.079,1.31
3256.08,1.31
3256.081,1.3
3256.082,1.29
3256.084,1.29
3256.085,1.3
3256.086,1.29
3256.087,1.28
3256.089,1.27
3256.09,1.29
3256.091,1.29
3256.092,1.33
3256.094,1.31
3256.095,1.33
3256.096,1.35
3256.097,1.33
3256.099,1.3
3256.1,1.3
3256.101,1.27
3256.102,1.29
3256.104,1.21
3256.105,1.27
3256.106,1.3
3256.107,1.29
3256.109,1.31
3256.11,1.35
3256.111,1.34
3256.112,1.33
3256.114,1.31
3256.115,1.33
3256.116,1.33
3256.117,1.34
3256.119,1.31
3256.12,1.3
3256.121,1.31
3256.122,1.29
3256.124,1.31
3256.125,1.32
3256.126,1.32
3256.127,1.32
3256.129,1.32
3256.13,1.34
3256.131,1.32
3256.132,1.29
3256.134,1.28
3256.135,1.27
3256.136,1.26
3256.137,1.29
3256.139,1.3
3256.14,1.31
3256.141,1.3
3256.142,1.31
3256.144,1.31
3256.145,1.32
3256.146,1.34
3256.147,1.33
3256.149,1.3
3256.15,1.27
3256.151,1.27
3256.152,1.2
3256.154,1.26
3256.155,1.27
3256.156,1.26
3256.157,1.29
3256.159,1.33
3256.16,1.35
3256.161,1.36
3256.162,1.33
3256.164,1.35
3256.165,1.35
3256.166,1.32
3256.167,1.32
3256.169,1.27
3256.17,1.27
3256.171,1.29
3256.172,1.27
3256.174,1.22
3256.175,1.25
3256.176,1.31
3256.178,1.32
3256.179,1.35
3256.18,1.33
3256.181,1.34
3256.183,1.34
