Time,Volt_In,Volt_Out
2757485,3.08,948
2757488,3.04,938
2757492,3.01,926
2757495,2.97,914
2757498,2.93,902
2757502,2.89,889
2757505,2.84,875
2757508,2.8,861
2757511,2.75,846
2757515,2.7,830
2757518,2.65,815
2757521,2.59,798
2757524,2.54,781
2757528,2.48,764
2757531,2.43,747
2757534,2.37,729
2757538,2.32,711
2757541,2.25,692
2757544,2.19,673
2757547,2.13,654
2757551,2.07,635
2757554,2,615
2757557,1.94,596
2757560,1.88,576
2757564,1.81,556
2757567,1.75,536
2757570,1.68,516
2757573,1.62,496
2757577,1.55,476
2757580,1.49,456
2757583,1.43,437
2757586,1.36,417
2757590,1.3,397
2757593,1.24,378
2757596,1.17,359
2757599,1.11,340
2757603,1.04,321
2757606,0.99,303
2757609,0.93,285
2757612,0.87,267
2757616,0.82,250
2757619,0.76,233
2757622,0.71,216
2757625,0.66,200
2757629,0.61,184
2757632,0.56,169
2757635,0.51,155
2757638,0.46,141
2757642,0.42,127
2757645,0.38,114
2757648,0.34,102
2757652,0.3,90
2757655,0.27,79
2757658,0.24,69
2757661,0.2,59
2757665,0.17,50
2757669,0.13,38
2757673,0.11,31
2757676,0.09,24
2757679,0.07,18
2757682,0.05,13
2757686,0.04,9
2757689,0.03,6
2757692,0.02,3
2757695,0.01,1
2757699,0.03,0
2757702,0.03,0
2757705,0.03,0
2757709,0.03,1
2757712,0.03,3
2757715,0.03,6
2757718,0.05,9
2757722,0.05,14
2757725,0.07,19
2757728,0.09,24
2757731,0.11,31
2757735,0.13,38
2757738,0.16,46
2757741,0.19,55
2757745,0.22,64
2757748,0.25,74
2757751,0.28,85
2757754,0.32,96
2757758,0.36,109
2757761,0.4,121
2757764,0.44,134
2757767,0.49,148
2757771,0.54,163
2757774,0.58,177
2757777,0.63,193
2757781,0.68,209
2757784,0.74,225
2757787,0.79,242
2757790,0.85,259
2757794,0.91,277
2757797,0.96,295
2757800,1.02,313
2757803,1.08,331
2757807,1.14,350
2757810,1.21,369
2757813,1.27,389
2757816,1.33,408
2757820,1.41,428
2757823,1.45,447
2757826,1.52,467
2757829,1.59,487
2757833,1.65,507
2757836,1.72,527
2757839,1.78,547
2757842,1.84,567
2757846,1.91,587
2757849,1.97,607
2757852,2.04,626
2757855,2.1,646
2757859,2.16,665
2757862,2.23,684
2757865,2.29,702
2757868,2.34,721
2757872,2.41,739
2757875,2.46,756
2757878,2.52,774
2757881,2.57,791
2757885,2.62,807
2757888,2.68,823
2757891,2.73,839
2757894,2.77,854
2757897,2.82,869
2757901,2.87,883
2757904,2.91,896
2757907,2.95,909
2757910,2.99,921
2757914,3.03,933
2757917,3.06,944
2757920,3.1,954
2757923,3.13,964
2757927,3.16,973
2757930,3.19,981
2757933,3.21,988
2757936,3.23,995
2757940,3.25,1001
2757943,3.27,1007
2757946,3.28,1011
2757949,3.29,1015
2757953,3.3,1018
2757956,3.3,1020
2757959,3.3,1022
2757962,3.3,1022
2757969,3.3,1022
2757972,3.3,1020
2757975,3.3,1017
2757979,3.29,1014
2757982,3.28,1010
2757985,3.27,1006
