Time,FilteredVoltage
-9.98,-0.00142
-9.98,-0.000410474414066734
-9.97,-8.90597440411717e-05
-9.96,-0.000366217594095733
-9.95,-0.000616291426716353
-9.95,-0.000526150446185358
-9.94,-0.000370355971436969
-9.93,-0.000463215673467192
-9.92,-0.000689894687581104
-9.91,-0.000746543198063729
-9.91,-0.000610636143093119
-9.9,-0.000523707736572763
-9.89,-0.000598586357719917
-9.88,-0.000684452188488677
-9.88,-0.000633656511746719
-9.87,-0.000507943844993475
-9.86,-0.000442502359482446
-9.85,-0.000439256317711824
-9.84,-0.000404783243710867
-9.84,-0.000323662904234395
-9.83,-0.000282424785539551
-9.82,-0.000334399147822714
-9.81,-0.00042527324993451
-9.8,-0.000468326287926988
-9.8,-0.000440311773281074
-9.79,-0.000380863256612814
-9.78,-0.000330905171298974
-9.77,-0.000297984773523325
-9.77,-0.000270470485506305
-9.76,-0.000246047401291404
-9.75,-0.000240837869426055
-9.74,-0.000270422575322846
-9.73,-0.000325330492541869
-9.73,-0.000376938767198004
-9.72,-0.000412891569240826
-9.71,-0.000452261148412901
-9.7,-0.000514100093606172
-9.7,-0.000586307964556624
-9.69,-0.000643916526433459
-9.68,-0.000683937825134456
-9.67,-0.000715550429365695
-9.66,-0.000725067031145179
-9.66,-0.000685558341456993
-9.65,-0.000604945565144423
-9.64,-0.000529811535857829
-9.63,-0.000486808627998542
-9.63,-0.000449728671197098
-9.62,-0.000386569710458712
-9.61,-0.000314187763091624
-9.6,-0.000276065261711392
-9.59,-0.000281125984686337
-9.59,-0.000298650707475753
-9.58,-0.000308906879731465
-9.57,-0.000324173420226378
-9.56,-0.000353597880091086
-9.55,-0.000378550422065833
-9.55,-0.000380066652586769
-9.54,-0.000370197661260457
-9.53,-0.000376307367264641
-9.52,-0.000404726033094352
-9.52,-0.000436662817947217
-9.51,-0.000454117963773173
-9.5,-0.000456783930153042
-9.49,-0.000457257007548524
-9.48,-0.000469285077803268
-9.48,-0.000495517739472871
-9.47,-0.000519480947200798
-9.46,-0.000520536737277619
-9.45,-0.00050994311201949
-9.45,-0.000539111615461158
-9.44,-0.000646679874200299
-9.43,-0.000798591988798962
-9.42,-0.000906873916511263
-9.41,-0.000917075391415285
-9.41,-0.000856850580429963
-9.4,-0.000787911323798423
-9.39,-0.00073373729257969
-9.38,-0.000677260000834226
-9.38,-0.000611464405278152
-9.37,-0.00055598274582282
-9.36,-0.000521223891065987
-9.35,-0.000488458984987406
-9.34,-0.000442414464629503
-9.34,-0.000402737288687618
-9.33,-0.000400148257709886
-9.32,-0.000430976494369882
-9.31,-0.000459203097888337
-9.3,-0.000463362154957338
-9.3,-0.00045883848394027
-9.29,-0.000464589675035088
-9.28,-0.00046701616175305
-9.27,-0.000437100516663845
-9.27,-0.000377423019990437
-9.26,-0.000329662881955968
-9.25,-0.00032742878104678
-9.24,-0.000355880906030027
-9.23,-0.000371630373046322
-9.23,-0.000355178382201066
-9.22,-0.000327433534441834
-9.21,-0.000315981441513029
-9.2,-0.000325982560641185
-9.2,-0.000354866154350027
-9.19,-0.000416100931615295
-9.18,-0.00052118601371477
-9.17,-0.00063988988632242
-9.16,-0.00070776614902792
-9.16,-0.000690414768727464
-9.15,-0.000625066888134867
-9.14,-0.000578109147671601
-9.13,-0.000568787777265294
-9.13,-0.000556693486126941
-9.12,-0.000503555007205193
-9.11,-0.000421791732690109
-9.1,-0.000351347059895828
-9.09,-0.000311139380579073
-9.09,-0.000296226770970783
-9.08,-0.000310276127001123
-9.07,-0.000369123279053601
-9.06,-0.000465669907067749
-9.05,-0.000556600695673194
-9.05,-0.000603152127351153
-9.04,-0.000613726854105088
-9.03,-0.000627240460849482
-9.02,-0.000658881558829808
-9.02,-0.000682819874842009
-9.01,-0.000672357307095437
-9,-0.000638591802915929
-8.99,-0.000616401334526215
-8.98,-0.000623233238270996
-8.98,-0.000647243133571654
-8.97,-0.000670560642837672
-8.96,-0.000685584750245883
-8.95,-0.000686195911595332
-8.95,-0.000661908192780605
-8.94,-0.000612570881331585
-8.93,-0.000556459941731481
-8.92,-0.000508650411184316
-8.91,-0.000459313875683888
-8.91,-0.000391054326698775
-8.9,-0.000313219131792088
-8.89,-0.000255924262880401
-8.88,-0.000226906016933613
-8.88,-0.000200692683698587
-8.87,-0.0001653677967013
-8.86,-0.000153666618067067
-8.85,-0.000196628482021016
-8.84,-0.000261863803757089
-8.84,-0.00028216768837096
-8.83,-0.000251226583623124
-8.82,-0.000245591772572321
-8.81,-0.000322905344901675
-8.8,-0.000432101818003648
-8.8,-0.000470697739406873
-8.79,-0.000417989077250128
-8.78,-0.00035894109412014
-8.77,-0.000366396598930052
-8.77,-0.000409496608477329
-8.76,-0.000411130367511652
-8.75,-0.000360207032271419
-8.74,-0.000316920695175284
-8.73,-0.000317989397456559
-8.73,-0.000329842508727289
-8.72,-0.00031037928518106
-8.71,-0.000275607429041285
-8.7,-0.000274583161539036
-8.7,-0.000321957186277376
-8.69,-0.000388879845663439
-8.68,-0.000448295329101101
-8.67,-0.000491902705964469
-8.66,-0.000501804871406008
-8.66,-0.000445810222737175
-8.65,-0.000324372411936847
-8.64,-0.000198315116235448
-8.63,-0.000138547658034922
-8.63,-0.000152706036005107
-8.62,-0.000185430742997345
-8.61,-0.000190344166790455
-8.6,-0.000177232680153494
-8.59,-0.000181936338263046
-8.59,-0.000216069000931882
-8.58,-0.00026695557395606
-8.57,-0.000329635751303808
-8.56,-0.000407682455597742
-8.55,-0.000482592289933641
-8.55,-0.000512828411990211
-8.54,-0.000479501804566825
-8.53,-0.000415619018700077
-8.52,-0.000370583029323855
-8.52,-0.000355230677353337
-8.51,-0.000341563813875006
-8.5,-0.00031049346274794
-8.49,-0.000273958143906411
-8.48,-0.000245917328277751
-8.48,-0.000218685315482663
-8.47,-0.0001861426477304
-8.46,-0.000171211003229054
-8.45,-0.000202982377453031
-8.45,-0.000271999103516813
-8.44,-0.000334847895245781
-8.43,-0.000366689257430942
-8.42,-0.000384479280236839
-8.41,-0.000407417519730634
-8.41,-0.000418167404382983
-8.4,-0.000386781735508226
-8.39,-0.000320906028052387
